년도	가수	제목	남녀	장르	최고순위	작사가	작곡가	소속사	가사
20110103	틴탑	Supa Luv	Male	댄스	71	Hamilton	휘성, Redd Stylez	티오피미디어	I got that Supa luv, that Supa luv, luv I make him say, I make him say, say, let's go 나 말고 또 누가 널 안다고 나만큼 사랑한다고 ( 튕겨 튕겨 ) 자 더도 말고 생각 그만하고 나를 받아들여 ( 믿어 믿어 )  하늘 바다가 크고 넓어봤자 내 맘보단 못하지, 아니? 나는 그대 것이오 그대도 내 반쪽이오 La La La La La Tell me that u love me, too 더 찾아 봤자 이런 녀석 없어  * I got that Supa luv that Supa luv She want my Supa luv my supa luv 엄청난 특별한 또 짜릿한 I got that Supa luv  소원이 몇가지든 들어줄 수 있는 너만의 Supa Man 'Wow' 나 때문에 느껴버리겠지 like a Supa fantasy Ur so beautiful 뻔한 그 말 넌 지겹잖아 뭘 원해 다 말해 my Supa luv 이 줄게 La La La La La Tell me that u love me, too 생각만 하다 기회 놓치지마  * repeat  본체만체 그래도 가끔 눈이 맞는 게 네 맘의 증거 네 심장 소리 들려 넌 원하잖아 Supa Luv  어쨌거나 네가 하는 선택 미리 미리 따져보고 결정해 결국 넌 내게 미쳐버릴 거란 사실만은 누가 봐도 분명해 Like a hurricane 다 쓸어가 네 걱정을 자 들어봐 난 달라 딱 잘라 내 사랑의 샘은 절대 안 말라  * repeat  Yeah ~ See what I'm trying to say baby, is your love? plus my love, Supa luv You know you want it, how that sound ?
20110117	소녀시대	비주얼드림 (POP! POP!)	Female	댄스	77	김부민	히치하이커	SM Entertainment	One Two Three Four 짜릿하게 어머나 One Two Three Four 너를 원해 이미 난 One Two Three Four 솔직한 내 맘을 다 들켜버릴래 다 들려줄래 촉촉촉 오 달콤한 내 입술에 Come Come Come 천천히 그래 다가와 Tic Tac Toe 오 아찔하게 네게 푹 빠져버린걸 녹아버린걸 처음 느낀 이 감정 My Deep Love Core 점점 뜨거워지는 얼굴 숨이 막히는 순간 어쩌지 떨리고 있어 boy boy boy boy bo bo bo boy boy boy boy 고민고민 해봐도 모르겠어 상상만으론 정말로 하나도 오 how to do my first kiss just wait a minute? boy boy boy boy bo bo bo boy boy boy boy 망설이지 말고 my love get into my core One Two Three Four 짜릿하게 어머나 One Two Three Four 너를 원해 이미 난 One Two Three Four 솔직한 내 맘을 다 들켜버릴래 다 들려줄래 촉촉촉 오 달콤한 내 입술에 Come Come Come 천천히 그래 다가와 Tic Tac Toe 오 아찔하게 네게 푹 빠져버린걸 녹아버린걸 내 맘 속 visual 너무 완벽해 네 가지 고민 언제 어디서 무엇을 어떻게만 빼고 헤매고 있어 Core Core Core Core Co Co Co Core Core Core Core 우물쭈물 하단 놓칠지 몰라 망설임 the end 여길 봐 두근두근 pop pop 들리지 어때 Core of my love Core Core Core Core Co Co Co Core Core Core Core 지금이야 바로 start! jump into love core One Two Three Four 짜릿하게 어머나 One Two Three Four 너를 원해 이미 난 One Two Three Four 솔직한 내 맘을 다 들켜버릴래 다 들려줄래 Take you higher / oh my love ooh yeah visual dreams / 느껴봐 beating of my heart One Two Three Four 짜릿하게 어머나 One Two Three Four 너를 원해 이미 난 One Two Three Four 솔직한 내 맘을 다 들켜버릴래 다 들려줄래 촉촉촉 오 달콤한 내 입술에 Come Come Come 천천히 그래 다가와 Tic Tac Toe 오 아찔하게 네게 푹 빠져버린걸 녹아버린걸 ooh yeah visualize my love oh yeah
20110127	쥬얼리	Back It Up	Female	댄스	79	김이나, 크리스	크리스	스타제국	How much you love me How much you love me 부끄러워하지마 right now 날 유혹해봐 날 흔들어봐 네게 빠져들도록  모두 너를 보고 제일이라해도 먼저 와주기만 바란다고 해도 Buy another drink, 뻔한 니 style 넌 어딘가 부족해  Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up  자꾸 티내고픈 마음 나도 알아 가끔 뻔뻔해지고픈 맘도 알아 Buy another drink, I'll drink it all up 내게 내게 빠져봐  Whenever you get lonely, and need someone to hold please Call me up boy I'll be there in a hurry 못이기는 척 손도 나와 잡고 이렇게 서로의 마음을 꽉 사로잡아 네게 가는길 마지막 거울을 보고 dress code와 make up 을 Check 가는 길 리듬을 타고 계속 빠지고 싶어 Cuz I'm a back it up back it up back it up man  How much you love me How much you love me 빠져버린걸 알아 right now 애원하는건 애걸하는건 질리기만한 뻔한 수법  사실 모두 다가 알고있는 얘기 다들 알면서도 지나가는 얘기 놓치고나서 후회하면서 매일하는 이 얘기  Tell me you love me too call me up boy  Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up  자꾸 티내고픈 마음 나도 알아 가끔 뻔뻔해지고픈 맘도 알아 Buy another drink, I'll drink it all up 내게 내게 빠져봐  날 가지려면 날 갖고 싶다면 좀 더 서둘러야해 Back it up Back it up Back it up Back it up Back it up Back it up  뻔한 레파토리 이젠 너무 지겨워 이제는 turn it up turn it up turn it up now 다시 생각해 후회하지 말고 back it up back it up back it up now  두근두근 심장이 멎네 여기저기서 나를 원해 그 중 너도 나를 바라네 Bring your friends, keep it right 나도 모르게 내 맘을 뺏어 If you want it, you can have it 충분히 넌 매력있잖아  Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up Back it up  자꾸 티내고픈 마음 나도 알아 가끔 뻔뻔해지고픈 맘도 알아 Buy another drink, I'll drink it all up 내게 내게 빠져봐  살짝 네 어깨에 기대어 볼까 (Back it up Back it up Back it up) 살짝 네게 속삭여볼까 (Back it up Back it up Back it up) 살짝 네게 윙크를 해볼까 (Back it up Back it up Back it up) 사랑한다면 날 원한다면 내게내게 빠져봐
20110217	아이유	나만 몰랐던 이야기	Female	발라드	1	김이나	윤상	카카오 M	정말 넌 다 잊었더라 반갑게 날 보는 너의 얼굴 보니  그제야 어렴풋이 아파오더라 새 살 차오르지 못한 상처가  눈물은 흐르질 않더라 이별이라 하는 게 대단치도 못해서 이렇게 보잘것없어서  좋은 이별이란 거, 결국 세상엔 없는 일이라는 걸 알았다면 그때 차라리 다 울어둘 걸  그때 이미 나라는 건 네겐 끝이었다는 건 나만 몰랐었던 이야기   사랑은 아니었더라 내 곁에 머물던 시간이었을 뿐  이제야 어렴풋이 알 것만 같아 왜 넌 미안했어야만 했는지  내가 너무 들떴었나 봐 떠나는 순간마저 기대를 했었다니 얼마나 우스웠던 거니  좋은 이별이란 거, 결국 세상엔 없는 일이라는 걸 알았다면 그때 차라리 다 울어둘 걸  그때 이미 나라는 건 네겐 끝이었다는 건 나만 몰랐었던 이야기
20110207	이창민, 진운	사랑하면 안될까	Male	발라드	2	홍지상	홍지상	JYP엔터테인먼트	매번 마주칠 때마다 니가 웃어줄 때마다 조금씩 내 안에 조금씩 널 향한 마음이 자라더니  이제는 널 생각하면 니 모습을 떠올리면 자꾸만 두근대는 내 심장은 멈출줄 몰라  더 이상 감출 수 없는 내맘 전부 다 주고 싶어  항상 곁에서 (니 옆에서) 널 사랑 하면 안될까 누구보다 너를 지키고 싶은 맘 받아주면 안될까  너의 맘속에 (가슴속에) 내가 있으면 안될까 너에게 가장 소중한 사람이 되고 싶어 어서 내 맘을 받아줘  매일매일 커져가는 널 향한 사랑 때문에  난 정말 하루 종일 아무것도 할 수가없어  이제는 숨길 수 없는 내 맘 너로 가득 차버렸어  항상 곁에서 (니 옆에서) 널 사랑 하면 안될까 누구보다 너를 지키고 싶은 맘 받아주면 안될까  너의 맘속에 (가슴속에) 내가 있으면 안될까 너에게 가장 소중한 사람이 되고 싶어 어서 내 맘을 받아줘  이런 내 마음을 알아줘 알겠다고 대답해줘  항상 곁에서 (니 옆에서) 널 사랑 하면 안될까 누구보다 너를 지키고 싶은 맘 받아주면 안될까  너의 맘속에 (가슴속에) 내가 있으면 안될까 너에게 가장 소중한 사람이 되고 싶어 어서 내 맘을 받아줘  내 맘을 알아줘
20110215	이현	내꺼중에 최고	Male	발라드	3	방시혁	방시혁	빅히트 엔터테인먼트	사랑을 믿지 않았지 오늘이 오기 전엔 그래서 가능했나봐 널 떠날 수 있었나봐  미련하기는 또 최고라 아픈지도 몰랐어 가슴이 텅 빈 것 같아 눈물이 자꾸 흐르다 니가 보고 싶어 죽을 것 같아 이제야 알았어  넌 내꺼중에 최고 내 삶의 모든 것 중에 최고 눈이 멀었었나봐 미쳤나봐 왜 너를 못 알아봐  나 따위가 뭐라고 감히 너를 떠나 살 수 있다고 내겐 너무 과분한 사람이란 걸 이제야 알았어  넌 내꺼중에 최고  잘난 것 하나 없는데 무슨 자신감으로 그렇게 널 대한건지 널 차버릴 수 있는지  자상하기는 또 최고라 화 한번 내지 않고 오직 나만 사랑해준 자기보다 더 아껴준 내겐 너무 과분한 그 사람이 이제야 그리워  넌 내꺼중에 최고 내 삶의 모든 것 중에 최고 눈이 멀었었나봐 미쳤나봐 왜 너를 못 알아봐  나 따위가 뭐라고 감히 너를 떠나 살 수 있다고 내겐 너무 과분한 사람이란 걸 이제야 알았어  내겐 자격따윈 없지만 니 곁에 돌아가겠다는 말은 뻔뻔하지만 한 번 실수한 만큼 더 잘 할 수도 있어 이런 날 믿고 다시 받아주겠니  넌 내꺼중에 최고 내 삶의 모든 것 중에 최고 눈이 멀었었나봐 미쳤나봐 왜 너를 못 알아봐  나 따위가 뭐라고 감히 너를 떠나 살 수 있다고 내겐 너무 과분한 사람이란 걸 이제야 알았어  넌 내꺼중에 최고
20110224	빅뱅	TONIGHT	Male	댄스	5	G-DRAGON, E.Knock, 필강	G-DRAGON, T.O.P	YG Entertainment	Tonight  Such a beautiful night  Sing you with me now  2011 Follow me  Big Bang  Big Bang  We back again one more time  Say No way  No way  너무 쉽게 또 남이 돼  Big Bang  Big Bang  Don't stop  Let's play  Okay Okay  Go go go  나 미칠 것 같애  아마 지친 것 같애  아냐 질린 것 같애  벌써 따분해 시시해  한 여자로는 만족 못하는  Bad Boy  But I'm nice  안 넘어가고는 못 배길걸  Let me blow your mind  언제부터였는지  감흥이 없어진 우리  이젠 마치  진 빠진 김 빠진  콜라같지  무감각해진 첫 느낌  서로를 향한 곁눈질  그깟 사랑에 난 목매지 않아  Don't want a try no more  너를 찾아서 오에오  날 비춰주는 저 달빛 아래로  그댈 찾아서 오에오 오오  끝이 어딘지 모르겠지만  Hey-  Tonight Tonight  Tonight Tonight  아직 난 사랑을 몰라  또 홀로 가여운 이 밤  상처난 이별이 무서워  So What So What  널 처음 만난 순간이 그리워  No More No More  그저 아픔에 서툰걸  난 피하고 싶은걸  But you no that I love you girl  (Girl girl girl)  질질 끄는 성격  Say No  차가운 입술로  널 얼어붙게 하는 나나나  T T T Take my soul  Take my heart back  새로운 설레임 Get that  사랑은 내겐 어울리지 않아 
20110217	아이유	잔혹동화	Female	발라드	7	김이나	세인트바이너리	카카오 M	이 밤 지나고 나면은 날 깨울 그대 올테죠 한 방울 씩 흘려 놓은 눈물 즈려 밟으며  저 문 열리면 또 다시 빛이 내게 닿을테죠 그 이후론 영원토록 행복하게 살테죠   열 두시 종이 울리면 꿈 속에서 눈 뜨죠 사람들의 축복 속에 춤추고 있는 우리 둘  난 숨을 쉬죠 (You will never know) 난 살아있어요 (Everyone fails to love) 그 사실만은 나 믿어도 되는 거겠죠  Nothing lasts forever, Nothing really matters   날 찾는 길이 험해서 헤매고 있나봐요 언젠가는 웃으면서 그대 품에 잠들겠죠  난 갈 수 없죠 (I will never know) 날 못 찾을까 봐 (Everyone tells me so) 이 기다림이 다 물거품 돼 버릴까봐   Nothing lasts forever Nothing really matters Nothing lasts forever Nothing really matters Nothing lasts forever Nothing really matters Nothing lasts forever Nothing really matters
20110224	빅뱅	CAFE	Male	댄스	11	G-DRAGON, PEEJAY, DJ머프	G-DRAGON, T.O.P	YG Entertainment	I remember When you walked through that door Sat down on that chair The times we shared But you aren't here  네가 앉아 있던 그 하얀 의자만이 네 향기를 기억하고 네가 떠난 후로 차가운 정적만이 널 기다리고 있는 작은 카페  습관이 된 ice coffee espresso double shot 눈을 감아 조심스레 한 모금만 흘러오는 즐겨듣던 음악 심장이 점점 빠르게 뛰어 온다 처음 널 만난 설레이던 떨림을 회상해 Caffeine 힘을 빌려 꼭 챙기던 그녀의 설탕 Syrup 이젠 이 끈적함이 난 싫어  Please don't leave me alone 난 어떡하라고 모두가 잠든 밤 왜 날 혼자 두려고 Tell me the truth 어제와 다른 오늘 늦었다고 약속했던 서로 나누던 말들 다 거짓이라고  Don't make me fool 네가 앉아 있던 그 하얀 의자만이 네 향기를 기억하고 네가 떠난 후로 차가운 정적만이 널 기다리고 있는 작은 카페  You don't need me anymore 그 말은 말아줘 그댄 지금 내가 싫단 듯 자신을 속이고 낡은 저 책상 위에 새겨놓은 우리 둘 이름까지도 기억 속에 추억속에 그냥 묻어둔 채로  Oh my god 묻어둔대도 그게 잘 안돼 날 찾아오는 건 공황 상태 불안정한 심리 속에 방황해 쓸쓸히 혼자 불 꺼진 방 안에  널 그리며 추억하는 불행한 화가 유일한 명작이 된 비극적인 우리 사랑 아직도 내 마음은 너로 가득한 화랑 너 떠난 서울은 황량한 사막  네가 앉아 있던 그 하얀 의자만이 네 향기를 기억하고 네가 떠난 후로 차가운 정적만이 널 기다리고 있는 작은 카페  너 외로워 할때면 언제든 널 기다리고 있는 너 그리워 보고 싶은 날이면 널 부르고 있는 내가 타주던 커피와 접어 둔 책갈피와 그대만의 하얀 집 위로 흐르는 비 Baby-  네가 앉아 있던 그 하얀 의자만이 네 향기를 기억하고 네가 떠난 후로 차가운 정적만이 널 기다리고 있는 작은 카페  (너 외로워 할때면 언제든 널) 네가 앉아 있던 그 하얀 의자만이 네 향기를 기억하고 (너 그리워 보고 싶은 날이면 널) 네가 떠난 후로 차가운 정적만이 (내가 타주던 커피와) 그대만의 하얀 집 위로 흐르는 비 Baby-
20110224	빅뱅	What Is Right	Male	댄스	12	G-DRAGON, PEEJAY, DJ머프	G-DRAGON, T.O.P	YG Entertainment	Tell me what is right and what is wrong 이유도 모른 채 너와 난 다투고 있어 얼굴을 붉히고서 잔뜩 심술이 나서 하지만 이런 네 모습마저 난  아직도 모르겠어 right 그 아무도 모를테지 남자와 여자의 차이 입장따라 다르겠지 매번 똑같은 episode 한쪽은 꼬리를 내리고 싸우려고 널 만난건 아닌데 말이야 자기야  내가 무슨 말이 더 필요하겠니 미안미안 반복된 다툼은 내일이 되면 다 지난 일이야 변명은 해봐야 구차해 서로 이해 못해 다툴라 해 우리 생각을 해 매 순간에 잘못의 원인이 누구든 간에  Tell me what is right and what is wrong 이유도 모른 채 너와 난 다투고 있어 얼굴을 붉히고서 잔뜩 심술이 나서 하지만 이런 네 모습마저 난 What is right and what is wrong what is right and what is wrong 금방이라도 울듯 꼭 어린아이 같은(hey) 그대가 내 여자라서 좋아 난  나만 바라봐주기, 밤새워 통화하기, 가끔은 몰래 준비한 깜짝 이벤트해주기, 기념일 잊지 않기, 절대 의심하지 않기 ,너의 편 돼주기, 사랑한다고 말해주기  네가 해 달라는 대로 원하는 대로 노력해봤지만 나아지지가 않아 그대 내 진심 안다면 화내지 말고 그냥 눈을 감고 입맞춰줘 baby  Tell me what is right and what is wrong 이유도 모른 채 너와 난 다투고 있어 얼굴을 붉히고서 잔뜩 심술이 나서 하지만 이런 네 모습마저 난 What is right and what is wrong what is right and what is wrong 금방이라도 울듯 꼭 어린아이 같은(hey) 그대가 내 여자라서 좋아 난  Say ye ye ye 점점 빠르게 끝을 향해 가고 있어 더 이상은 안돼 yeh yeh Baby hold on 흔들리고 있는 날 붙잡아줘 ooh  항상 처음은 설레여 문제는 1년만 지나면 어때 사랑은 안 변해 사람이 변해 아니면 가족 같아 내가 편해  내가 더 잘할께란 말 이젠 무의미한걸  솔직하게 네 속 맘을 열어봐 right now  Tell me what is right and what is wrong 이유도 모른 채 너와 난 다투고 있어 얼굴을 붉히고서 잔뜩 심술이 나서 하지만 이런 네 모습마저 난 What is right and what is wrong what is right and what is wrong 금방이라도 울듯 꼭 어린아이 같은(hey) 그대가 내 여자라서 좋아 난  What is right and what is wrong
20110224	빅뱅	SOMEBODY TO LOVE	Male	댄스	18	G-DRAGON, 강욱진, 함승천	G-DRAGON, T.O.P	YG Entertainment	Somebody to love (can you hear me) i want somebody to love  Somebody to love somebody to love 이 긴 방황을 멈추게 I want somebody to love somebody to love 이 긴 밤이 다 가기 전에  오늘을 기다려왔어 수십 번 고민했어 너와 내 사이에 뭔 장애물들이 많아서 몇 번을 부딪치고 또 넘어져도 너라면 까짓 것 이 정도 가지고는 어림없어  아직 날 모르겠어 excuse me miss 확신이 부족한 거라면 i got you baby 난 내 여자는 끝까지 지켜 내 사랑을 시험 말아 다른 남자와는 달라 네가 원하는 걸 알아  Somebody to love somebody to love 이 긴 방황을 멈추게 I want somebody to love somebody to love 이 긴 밤이 다 가기 전에  지난밤 아름다운 구속 난 헤어나올 수 없어 just two of us (not enough) 무엇이 문제야 말해 내가 다 들어줄께 명령만해 아리따운 캡틴 take my hand be my angel ring my bell  가슴 설레이는 감정을 느껴 그대로 두 눈을 꼭 감고 끌리는 대로 how we go 틱틱탁 시간은 가 don't don't don't stop 멈추지마 마음을 열어 make it bounce make it bounce make it bounce  Somebody to love somebody to love 이 긴 방황을 멈추게 I want somebody to love somebody to love 이 긴 밤이 다 가기 전에 When I say somebody then you say to to love **2 Somebody to love somebody to love**2  뭘 망설이는 건지 알 수 없지만 내가 싫어서인지는 잘 모르지만  지금까지 못 느껴본 이런 감정 You need somebody to love too somebody to love too  누군가와 헤어져 누군가를 또 찾아 누군가의 남자로 여자로 난 누군가?  누군가와 누군가를 누군가의 남자로 여자로 넌 누군가?  Somebody to love(yeah!) somebody to love 이 긴 방황을 멈추게(let me hear you say) I want somebody to love somebody to love(baby) 이 긴 밤이 다 가기 전에  I want somebody to love somebody to love(I need you right now so baby stay by my side) I want somebody to love somebody to love you you oh you baby  When I say somebody then you say to to love **2 Somebody to love somebody to love**2
20110224	빅뱅	HANDS UP	Male	댄스	20	G-DRAGON, E.Knock	G-DRAGON, T.O.P	YG Entertainment	Brand new world is comming we are the world Say hello to the world Into my world hello to the world We are the world  Hey ho hey ho let me say hey ho hey ho one more time Hey ho hey ho let me hear you say hey ho hey ho breathe  Hands up high high and low 그대와나 음악소리에 잠시 기대 Hands up high high and low 느낌따라 just one step two step  Hands up high don’t stop the beat 네 키보다 더 높이 hands up high 링링링링 정신 없이 몸을 비틀어놔 말리지마 we don’t care Let's work it let's work it let's work it now  자 그려봐 네가 원하는 꿈을 나에게 말해봐 언제든 데려가 줄테니 불러봐 너의 누군가를 위해 baby just 1,2,3 go  Hands up high high and low 그대와나 음악소리에 잠시 기대 Hands up high high and low 느낌 따라 just one step two step Everybody plz don’t stop 내 목소리 들리게 아침해가 밝아와도 just we belong together Everybody plz don’t stop you got me goin crazy 우릴 따라 just one step two step  I said a louder 목이 터져라 질러봐 이 곳은 rush hour 혼잡한 세상 바삐 돌아가는 시계추 boom boom pow What about you boom boom down Let's work it let's work it let's work it now  자 그려봐 네가 바라는 꿈을 나에게 말해봐 어디든 데려가 줄테니 불러봐 너의 누군가를 향해 baby just 1,2,3 go  Hands up high high and low 그대와나 음악소리에 잠시 기대 Hands up high high and low 느낌 따라 just one step two step  Now put your hands up Now put your hands up Now put your hands up Now everybody put your hands up  Hey ho hey ho let me say hey ho hey ho one more time Hey ho hey ho let me hear you say hey ho hey ho breathe  Hands up high high and low 그대와나 음악소리에 잠시 기대 Hands up high high and low 느낌 따라 just one step two step Hands up high high and low 그대와나 음악소리에 잠시 기대 Hands up high high and low 느낌 따라 just one step two step
20110210	크리스탈	나 때문에	Female	발라드	36	오성훈	오성훈	SM Entertainment	사랑해요 지금 곁에 없지만 그대가 있어 이 세상이 난 행복한걸요 그대 잊지마요 세상 어디에서도 내 사랑을 기억해줘요 사랑해요 그댈 사랑해요 그대 때문에 이렇게 그대 때문에 이렇게 눈물이나 다신 그댈 볼수 없어도 그래도 나는 괜찮아요 그댈 사랑하니까  우리 매일 걷던 익숙한 이 거리도 나는 오늘도 낯설게만 또 느껴지네요 그대 없는 동안 많은게 변했어도 내 사랑만 멈춰서 있죠 사랑해요 그댈 사랑해요 그대 때문에 이렇게 그대 때문에 이렇게 눈물이나 다신 그댈 볼수 없어도 그래도 나는 괜찮아요 그댈 사랑하니까 미안해요 내가 미안해요 나 때문에 힘들었죠 나 때문에 아팠겠죠 바보처럼 이제서야 알것 같아요 가슴이 원하는 한 사람 바로 그대이니까 우~ 사랑해요 영원히
20110119	수지	겨울아이	Female	발라드	52	박장순	박원빈	JYP엔터테인먼트	겨울에 태어난 아름다운 당신은 눈 처럼 깨끗한 나만의 당신 겨울에 태어난 사랑스런 당신은 눈처럼 맑은 나만의 당신  하지만 봄 여름과 가을 겨울 언제나 맑고 깨끗해 겨울에 태어난 아름다운 당신은 눈처럼 깨끗한 나만의 당신  하지만 봄 여름과 가을 겨울 언제나 맑고 깨끗해 겨울에 태어난 아름다운 당신은 눈처럼 깨끗한 나만의 당신  생일 축하합니다 생일축하합니다 생일 축하합니다 당신의 생일을  Happy birthday to you. (Happy birthday to you.) Happy birthday to you. (Happy birthday to you) Happy birthday to you. (Happy birthday to you.) Happy birthday to you. (Happy birthday to you. )  (Happy birthday to you) Happy birthday to you. (Happy birthday to you) Happy birthday to you. (Happy birthday to you) Happy birthday to you. (Happy birthday to you)  Happy birthday to you.
20110222	엠블랙	다시	Male	댄스	54	Blue Magic, 태완	Blue Magic, 태완	J.Tune Camp	Now Game is Over 더이상 다신 나를 막을순 없어 슬픔도 Over 아파할 시간 조차 없어  Baby tell me Why 그 예쁜 미소가 내것이 아닌건지 Why don't you tell me why 널 다시 가질수만 있다면  난 다시 Try-y-y-y-(Try) 몇번을 부딪혀도 Try-y-y-y-(Try) 마지막이 된데도  갇힌 내 마음도 숨겨온 사랑도 더는 참을수 없어  Try , Try 너를 잊고 잊어도 Try , Try 가슴 찢고 찢어도  Bye , Bye But, Give me , Give me one mo' try.  Try-y-y-y- Try-y-y-y-  It's getting closer 시간이 다가오고 있음을 느껴 아픔은 Over 가슴속 검은 고통들도  Baby tell me Why 너무도 원했던 니 작은 입술이  Why don't you tell me why 이별을 말해야만 하는지  But, I will Try-y-y-y- (Try) 몇번을 부딪혀도 Try-y-y-y- (Try) 마지막이 된데도  갇힌 내 마음도 숨겨온 사랑도 더는 참을수 없어  Try , Try 너를 잊고 잊어도 Try , Try 가슴 찢고 찢어도  Bye , Bye But, Give me , Give me one mo' try.  Try-y-y-y- Try-y-y-y-  다시 쓰러진대도 그 끝이 뻔히 보인다해도 니가 뱉은 모든 lie 그 따위것 모두 믿어준대도 날 불태워 내 눈에 분노를 채워 I'll be on Second round 이건 또 시작된 싸움   난 다시 Try-y-y-y-(Try) 몇번을 부딪혀도  Try-y-y-y-(Try) 마지막이 된데도  갇힌 내 마음도 숨겨온 사랑도 더는 참을수 없어  Try , Try 나를 잊고 잊어도 Try , Try 가슴 찢고 찢어도  Bye , Bye But, Give me , Give me one mo' try Try-y-y-y- Try-y-y-y-
20101001	슈프림팀	그땐 그땐 그땐	Male	랩/힙합	1	사이먼 도미닉, 김건우	김건우	아메바컬쳐	yeah Supreme Team Secret K Brown Eyed Soul I miss u baby 내가 잘못 했어 그 지겨운 말 억지로 널 붙잡고 흐느껴 운 날 내 진심은 닳아버렸어 그런 순간 들을 모면하는 법까지 연기일 수밖에 물론 넌 그런 나를 알고 있었기에 얼굴 붉히는 일 없이 더 이상 기회는 없을 거라고 단정하며 오히려 차분하게 날 떠났어 그땐 지쳐있었어 나의 너를 안아주기엔 자격조차 없었거든 사랑보단 안정감이 더 커서 마음만 아슬하게 걸쳐있었을 뿐 아름다운 너에게 난 상처가 되기 싫었어 나쁜 놈으로 남기 싫어서 끝내는 되돌릴 방법하나 생각 못하고 너를 그냥 보냈잖아 나를 녹여 주던 너의 그 눈물도 이젠 내 맘을 얼게하네 빛을 담고 있던 너의 그 미소도 졸린 내 눈에 가리워지네 정말 답답해 왜 이런 건지 그땐 그땐 그땐 좋았었는데 정말 비참해 내 앞의 너를 그땐 그땐 그땐 사랑했는데 깨끗이 잊는 법 상처 다 아문 척 이제는 진짜 새로운 만남 시작해도 되는 때라고 말은 한다만 내 맘 같지 않아 어차피 사랑 이란게 다 애들 장난같은 거라 말하며 날 억지로 위로해 그래 이 꼴엔 그런 구차함도 필요해 똑같은 곳에서 일하고 똑같은 침대에서 잠을 자고 예전과 다를 것 없이 지내지만 딱 한 가지가 다르지 더 그럴듯한 변명거리나 날 미치도록 몰두하게 할 일들이 뭐가 있을까 어떻게 텅비어버린 날 채울까 나를 녹여 주던 너의 그 눈물도 이젠 내 맘을 얼게하네 빛을 담고 있던 너의 그 미소도 졸린 내 눈에 가리워지네 정말 답답해 왜 이런 건지 그땐 그땐 그땐 좋았었는데 정말 비참해 너와 나 정말 그땐 그땐 그땐 사랑했는데 내가 똑바로 서있지 못하거나 불안한 모습 보인다거나 그럴 땐 누가 날 안아줄지 그땐 누가 날 안아줄지 내가 똑바로 서있지 못하거나 불안한 모습 보인다거나 그럴 땐 누가 날 안아줄지 그땐 누가 날 안아줄지 비틀비틀비틀 시간은 흐르고 빛바랜 꿈은 지워지고 빙글빙글빙글 내 맘은 겉돌고 사랑한 날은 멀어져가고 정말 답답해 왜 이런 건지 그땐그땐그땐 좋았었는데 정말 비참해 내 앞의 너를 그땐 그땐 그땐 사랑했는데 견뎌내는 것도 널 지우는 것도 후회하는 것도 변한 게 하나 없어 견뎌내는 것도 널 지우는 것도 후회하는 것도 변한 게 하나 없어 견뎌내는 것도 널 지우는 것도 후회하는 것도 변한 게 하나 없어 견뎌내는 것도 널 지우는 것도 후회하는 것도 변한 게 하나 없어
20101013	강승윤	본능적으로	Male	록/메탈	2	윤종식	윤종신	YG Entertainment	본능적으로 느껴졌어 넌 나의 사람이 된다는 걸 처음 널 바라봤던 순간 찰나의 전율을 잊지못해 Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh 좋은 사람인진 모르겠어 미친듯이 막 끌릴뿐야 섣부른 판단일지라도 왠지 사랑일 것만 같아 Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh 내가 택했던 그녀를 난 믿겠어 내가 택했던 그 밤을 내 생 최고의 사랑일지 미친 사랑의 시작일지 해봐야 아는 게 사랑이지 이제 우리 시작할까 Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh 운전 하다가 널 봤는데 사고가 날 뻔했어 좋아 파란 불이떴어 너에게 난 go 했고 그 S line에 난 자석처럼 끌려 나도 모르게 침을 한방울 흘려 오해하지마 나는 속물 아냐 사랑을 가능케 하는 건 본능이야 우연인지 운명인지 나는 너의 앞에 왔어 계산 같은 건 전부 다 은행에 다 맡겨 내가 택했던 그녀를 난 믿겠어 내가 택했던 그 밤을 내가 택했던 그 밤을 못 잊겠어 그 황홀했던 순간을 내 생 최고의 사랑이든 미친 사랑의 시작이든 절대 후회는 없을거야 이제 우리 시작할까 Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh 그래 느낌이야 이건 본능이야 Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Everybody now Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh
